train_size,test_precision,test_recall,test_f1-score,test_support
2,0.8352011308909528,0.6953125,0.7423407521724168,256
8,0.8814179345275345,0.80078125,0.8268168000650431,256
32,0.9171266417572463,0.83203125,0.8551778036153037,256
512,0.9608743134355384,0.95703125,0.9583006471367891,256
1024,0.9682624260622887,0.96484375,0.9658823476573728,256
