train_size,test_precision,test_recall,test_f1-score,test_support
2,0.9446328364624965,0.9140625,0.9220379203515667,256
8,0.9773846557853911,0.9765625,0.9768543819554849,256
32,0.9801682692307693,0.9765625,0.9773792613636364,256
